Organization,Tier,Total Score,Free Users,License Type,Customer Usage Health,True Activation,Renewal Target Amount,Days to Renewal,Renewal Date,License Pts,Health Pts,Activation Pts,Free User Pts,ARR Pts,Renewal Pts
University of Chieti - Department of Innovative Technology in Medicine and Dentistry,Tier 2,63,85,Named User,Yellow,1.0,4308.0,217,2026-09-02,7,8,18,25,2,3
Delaware State University,Tier 2,63,15,Defined Group,Red,1.3584905660377358,11416.2,43,2026-03-12,5,3,18,14,6,17
CTSCB Hong Kong,Tier 2,63,2,Named User,Green,0.95,4308.0,59,2026-03-28,7,20,16,5,2,13
Burnet Institute,Tier 2,63,12,Named User,Red,0.968421052631579,18943.0,17,2026-02-14,7,3,16,14,8,15
"Medizinische Hochschule Hannover - Department of Gastroenterology, Hepatology and Endocrinology",Tier 2,62,348,Defined Group,Yellow,1.0588235294117647,7323.6,197,2026-08-13,5,8,18,25,4,2
Los Alamos National Laboratory- Division of Bioscience,Tier 2,62,18,Defined Group,Red,1.7125,17232.0,80,2026-04-18,5,3,18,14,8,14
Florida State University - College of Arts and Sciences (Multiyear 1 of 3),Tier 2,62,207,Named User,Red,0.90625,32864.0,285,2026-11-09,7,3,14,25,10,3
Oregon State University - Department of Pharmaceutical Sciences,Tier 2,62,279,Defined Group,Yellow,1.3181818181818181,9477.6,388,2027-02-20,5,8,18,25,4,2
University of Ljubljana - Institute of Biochemistry,Tier 2,62,272,Defined Group,Yellow,1.457142857142857,7539.0,324,2026-12-18,5,8,18,25,4,2
"University of Saskatchewan - Department of Biochemistry, Microbiology and Immunology",Tier 2,62,344,Defined Group,Yellow,1.1666666666666667,6462.0,277,2026-11-01,5,8,18,25,4,2
University of Southampton - School of Human Development and Health,Tier 2,62,358,Defined Group,Yellow,1.0857142857142856,7539.0,244,2026-09-29,5,8,18,25,4,2
University of Saskatchewan - Vaccine and Infectious Disease Organization (VIDO),Tier 2,61,344,Named User,Yellow,0.9230769230769231,5600.4,263,2026-10-18,7,8,14,25,4,3
"University of California Merced,  Center for Cellular and Biomolecular Machines",Tier 2,61,90,Named User,Yellow,0.95,4308.0,356,2027-01-19,7,8,16,25,2,3
