Opportunity Name,Renewal Target Amount,Renewal Date,Customer Usage Health,License Type,Opportunity Owner,TeamOrg ID,Renewed Contract Value*,Customer Relationship Health,$ Growth at Renewal,Churn Reason,Churn Reason Notes,CS POC Relationship Score,Current Number of Seats Available,Seats Filled,Seat Activation Rate,Active Users Last 90 Days,Initial Number of Seats
CS FY27 Renewal:    University of St Andrews - School of Medicine,10568.2,8/8/2026,orange,Defined Group,Fuzail Kadri,62dabb8f0bb1760028696bb9,,Extremely Healthy,0,,,Seat at the Table (3/5),200,86,43,37,53
CS FY27 Renewal:  Delaware State University // Department of Biological Sciences // Katarzyna Rosikon,11416.2,3/12/2026,red,Defined Group,Fuzail Kadri,65ef44c9df315e6b486a6c95,11416.2,Healthy,0,,,Seat at the Table (3/5),150,75,50,26,53
CS FY27 Renewal:    LSU Health New Orleans,41500,11/21/2026,red,Defined Group,Fuzail Kadri,637277027566423bab306f26,,Neutral,0,,,,425,303,71,124,250
"CS FY27 Renewal:  Centre for Infectious Disease Research, Diagnostics and Laboratory Surveillance (IDS)(RIVM)",5385,10/29/2026,red,Defined Group,Fuzail Kadri,670e996bbce6c931f13addda,,Healthy,0,,,Seat at the Table (3/5),60,21,35,10,25
CS FY27 Renewal:   University of Cincinnati // Department of Internal Medicine,18840,7/17/2026,orange,Defined Group,Fuzail Kadri,64b19a1c692aebbc2ea72ab2,0,Healthy,-18840,,,Seat at the Table (3/5),400,131,33,52,100
CS FY27 Renewal:  University of Pavia - Department of Internal Medicine and Therapeutics // Laura Deborah Locati,4523.4,3/29/2026,red,Defined Group,Fuzail Kadri,65f4af44258b264d88ab2b84,4523.4,Healthy,0,,"Moving to named user.
POC confirmed renewal for 21 seats.",Ghost (0/5),40,22,55,9,21
CS FY27 Renewal: Acibadem Universitesi - Library,20540,11/3/2026,red,Right to Deploy,Fuzail Kadri,690508ed9339915af46e793e,,,0,,,,125,15,12,14,100
CS FY28 Renewal:    CTSCB Hong Kong,4308,3/28/2027,green,Named User,Fuzail Kadri,6424a2d726807a2f50a1a6ff,,Neutral,0,,,Hard to Get (1/5),20,19,95,16,20
CS FY27 Renewal:   Czech Academy of Sciences - Institute of Microbiology,26702,1/12/2027,yellow,Defined Group,Fuzail Kadri,65984fff72a05a46a2c43790,,Neutral,0,,,Hard to Get (1/5),300,210,70,129,130
CS FY27 Renewal:   Philipps Universitat Marburg - Institute for Tumor Immunology,5385,10/6/2026,green,Named User,Fuzail Kadri,651304b5ab8dc7c862f131fd,,High Risk,0,,,Hard to Get (1/5),25,23,92,20,25
CS FY27 Renewal:    FMP - Leibniz Research Institute for Molecular Pharmacology,5600.4,11/1/2026,green,Named User,Fuzail Kadri,617ffee7fc6cdc002923c08b,,No Engagement,0,,,,26,25,96,22,26
CS FY27 Renewal:    Empa,7969.8,12/15/2026,yellow,Named User,Fuzail Kadri,6398f9f9acae4d59aad8404a,,Healthy,0,,,Trusted Advisor (4/5),37,35,95,26,37
CS FY27 Renewal:   Cinvestav,10770,8/14/2026,yellow,Right to Deploy,Fuzail Kadri,62c7104e7f61d80028d1528e,12924,Extremely Healthy,2154,,,Trusted Expert (5/5),55,41,75,42,50
CS FY27 Renewal: SUNY Buffalo // College of Arts and Science,5385,1/26/2027,orange,Right to Deploy,Fuzail Kadri,696e4045c724859a21f96d50,,,0,,,,31,24,77,19,20
CS FY27 Renewal: SUNY Buffalo - Pharmacology and Toxicology,5385,1/16/2027,green,Defined Group,Fuzail Kadri,696145fb6e3033b0043d5038,,,0,,,,50,31,62,25,25
CS FY27 Renewal:  Czech Academy of Sciences - Institute of Organic Chem and Biochem // Jiri Polach,10770,3/28/2026,yellow,Named User,Fuzail Kadri,65fc78375c2af3f2e4773844,10770,Neutral,0,,,Hard to Get (1/5),52,52,100,36,50
CS FY27 Renewal: University of South Florida // Sitewide,90675,10/1/2026,red,Sitewide,Fuzail Kadri,67bfab3e9f697618ecfd9714,,,0,,,,1000,416,42,179,465
CS FY27 Renewal:     Cincinnati Children's Hospital Medical Center,101750,1/1/2027,yellow,Defined Group,Fuzail Kadri,61c3a1399da7de002928bf43,,Healthy,0,,,Trusted Advisor (4/5),1502,1239,82,530,550
CS FY28 Renewal:  University of Ljubljana-Biotechnical faculty//Meta Sterniša,22183.2,3/4/2027,yellow,Named User (Chargeback),Fuzail Kadri,67c5b3c9e347776cdd910871,,,0,,,Transactional (2/5),47,46,98,39,108
CS FY27 Renewal:    University at Buffalo - Department of Ophthalmology,4954.2,1/18/2027,red,Defined Group,Fuzail Kadri,63c6c05b7e50772a3a90e7a7,,Neutral,0,,,,30,25,83,8,23
CS FY28 Renewal:    INRS - Isabelle Plante // Centre Armand-Frappier Santé Biotechnologie,6246.6,2/16/2027,green,Named User,Fuzail Kadri,63ec06a80c7dee86baed2ec5,,Neutral,0,,,Hard to Get (1/5),30,27,90,24,29
CS FY27 Renewal:   University of New Mexico - Molecular Genetics and Microbiology,7108.2,8/31/2026,yellow,Named User,Fuzail Kadri,64f0d06f0512bc97ef93de17,,High Risk,0,,,Seat at the Table (3/5),33,31,94,23,33
CS FY27 Renewal:    University at Buffalo - Department of Oral Biology,6677.4,5/3/2026,red,Named User (Chargeback),Fuzail Kadri,5ea9a15ca1e27f0027db3c7a,6677.4,Neutral,0,,,Transactional (2/5),31,31,100,20,31
CS FY28 Renewal: INL,5385,2/11/2027,green,Defined Group,Fuzail Kadri,697cf25d09dcd5406347bdd2,,,0,,,,80,40,50,25,25
CS FY27 Renewal: Czech Academy of Sciences // Miroslav Obornik // Biology Center,7539,4/21/2026,yellow,Named User,Fuzail Kadri,67fd1ac65c40837f0bb84968,7539,,0,,,Ghost (0/5),36,33,92,24,34
CS FY27 Renewal:   Hamad Bin Khalifa - College of Health and Life Sciences,21324.6,6/19/2026,orange,Defined Group,Fuzail Kadri,648884ee7c259019aca54d77,,Healthy,0,,,,130,129,99,72,99
CS FY28 Renewal:    Versiti - Blood Center of Wisconsin,17878.2,2/10/2027,orange,Defined Group,Fuzail Kadri,64c9325a687d8ae35e03ade3,,,0,,,Transactional (2/5),120,107,89,63,83
CS FY28 Renewal: IIT Jodhpur-Department of Bioscience and BioEngineering,4308,2/23/2027,orange,Right to Deploy,Fuzail Kadri,641df9bb56c71877f2849f5c,,,0,,,,27,21,78,13,20
CS FY27 Renewal:   University of Ljubljana - Institute of Biochemistry,7539,12/18/2026,yellow,Defined Group,Fuzail Kadri,658341f550cc9082e5a95d54,,Neutral,0,,,Seat at the Table (3/5),60,53,88,34,35
CS FY27 Renewal:  Academic Health Center,18955.2,1/13/2027,yellow,Named User,Fuzail Kadri,640f3e1c4738c4fbb05c4516,,,0,,,Trusted Advisor (4/5),88,87,99,49,88
CS FY27 Renewal: University of Puerto Rico - Biomedical Sciences,4308,3/5/2026,extra green,Right to Deploy,Fuzail Kadri,679d454e21a00ff087b217c6,4308,,0,,,Hard to Get (1/5),30,30,100,26,20
"CS FY27 Renewal:    University of Saskatchewan - Department of Biochemistry, Microbiology and Immunology",6462,11/1/2026,yellow,Defined Group,Fuzail Kadri,6360146efa820900d93f5cb8,,Full Churn,0,,,,83,36,43,27,30
CS FY28 Renewal:     Institute of Molecular Genetics of the Czech Academy of Sciences,5169.6,2/1/2028,green,Named User,Fuzail Kadri,6018770d450afc00281ddd73,,High Risk,0,,,,25,25,100,18,24
CS FY27 Renewal:  Institute for Clinical and Experimental Medicine,4308,5/15/2026,yellow,Named User,Fuzail Kadri,663d335c2503f75db36904a4,4308,,0,,,,20,16,80,10,20
CS FY29 Renewal:   Indian Institute of Technology // Central IT,12924,12/15/2028,orange,Right to Deploy,Fuzail Kadri,692f1b39305ac2872af7b2cd,,,0,,,,120,31,26,34,60
CS FY27 Renewal:  Augusta University - Immunology Center of Georgia,5385,12/3/2026,orange,Defined Group,Fuzail Kadri,6746168d8c8b94382a7af32a,,Neutral,0,,,Transactional (2/5),60,23,38,19,25
CS FY27 Renewal: Chulabhorn Graduate Institute,4308,1/12/2027,orange,Named User,Fuzail Kadri,694c0d82ca0c4bb2d1512f95,,,0,,,,20,8,40,8,20
CS FY28 Renewal:   IUF GMBH- 40 Named Users,10123.8,2/1/2027,yellow,Named User,Fuzail Kadri,65ba73d6665526047bb40e7e,,,0,,,Transactional (2/5),47,41,87,31,47
CS FY27 Renewal:  Tuskegee University Center for Biomedical Research // Temesgen Samuel,4308,5/15/2026,orange,Named User,Fuzail Kadri,66391169282cbf2671ac12dd,4308,,0,,,,20,19,95,6,20
CS FY27 Renewal: Concordia University of Wisconsin  - School of Pharmacy & School of Arts & Sciences - Robert Burlage,4308,3/13/2026,orange,Named User,Fuzail Kadri,67c0b079b30c83fe1c6914f9,0,,-4308,,,Ghost (0/5),20,10,50,5,20
CS FY27 Renewal:  Georgetown University - Department of Biology,8616,7/25/2026,green,Defined Group,Fuzail Kadri,6699490ebc2afe892b4c6af7,,Neutral,0,,,Seat at the Table (3/5),90,65,72,34,40
CS FY27 Renewal: University of Southampton - School of Clinical & Experimental Sciences,17232,10/14/2026,red,Defined Group,Fuzail Kadri,68dd363127ec84b67386f093,,,0,,,,200,16,8,13,80
CS FY27 Renewal:  Universidade do Minho - Life and Health Sciences Research Institute // Rute Carina,6462,7/1/2026,orange,Named User,Fuzail Kadri,666cac6731fd7860f28b4d33,,Healthy,0,,,Seat at the Table (3/5),33,21,64,14,30
"CS FY27 Renewal:    University of South Florida, Global Health and Infectious Disease Research Center",4308,11/1/2026,yellow,Named User,Fuzail Kadri,635fd13dfa820900d93f56d3,,Healthy,0,,,,20,17,85,12,20
CS FY27 Renewal:  Indian Institute of Science Education and Research Mohali - Department of Biological Sciences,5385,7/3/2026,green,Named User,Fuzail Kadri,66759e6d666b6a652f953184,,,0,,,,26,26,100,22,25
