account_name,opportunity_name,free_users_with_dept_match,free_users_without_dept_match,total_free_users,self_serve_with_dept_match,self_serve_without_dept_match,total_self_serve_users,total_users
Istituto Neurologico Carlo Besta (IRCCS),CS FY27 Renewal:    Istituto Neurologico Carlo Besta(IRCCS)//Anna Gasparello,12,13,25,0,0,0,25
Siva,CS FY27 Renewal:    Leibniz Institute on Aging – Fritz Lipmann Institute,6,19,25,0,0,0,25
Africa Health Research Institute,CS FY27 Renewal:   Africa Health Research Institute,7,5,12,3,3,6,18
Bioscience Division (Los Alamos National Laboratory),CS FY27 Renewal:   Los Alamos National Laboratory- Division of Bioscience// Bin Hu,6,8,14,0,4,4,18
Center for Biomedical Research (Tuskegee University),CS FY27 Renewal:  Tuskegee University Center for Biomedical Research // Temesgen Samuel,5,8,13,2,1,3,16
IKEM,CS FY27 Renewal:  Institute for Clinical and Experimental Medicine,1,10,11,1,4,5,16
Center for Immunology of Infectious diseases and Vaccines (RIVM),CS FY27 Renewal:  RIVM - Center for Immunology of Infectious Diseases and Vaccines,9,6,15,0,0,0,15
Department of Biological Sciences (Delaware State University),CS FY27 Renewal:  Delaware State University // Department of Biological Sciences // Katarzyna Rosikon,11,3,14,0,1,1,15
Centre for Infectious Disease Control (RIVM),"CS FY27 Renewal:  Centre for Infectious Disease Research, Diagnostics and Laboratory Surveillance (IDS)(RIVM)",9,6,15,0,0,0,15
Santa Clara University,CS FY27 Renewal:   Santa Clara University - College of Arts and Sciences,3,10,13,0,2,2,15
High Point University,CS FY27 Renewal:  High Point University - Office of Information Technology,5,8,13,0,1,1,14
School of Health and Life Sciences (University of the West of Scotland),CS FY27 Renewal:    University of the West Scotland - School of Health and Life Sciences,5,7,12,0,1,1,13
Chulabhorn Graduate Institute,CS FY27 Renewal: Chulabhorn Graduate Institute,0,13,13,0,0,0,13
Burnet,CS FY27 Renewal:   Burnet Institute // Tommy Tran (IT) Site-wide // 50 Named User + SSO,9,2,11,1,0,1,12
"Research Center Borstel, Leibniz Lung Center","CS FY27 Renewal:    Research Center Borstel, Leibniz Lung Center",1,11,12,0,0,0,12
FMP Berlin,CS FY27 Renewal:    FMP - Leibniz Research Institute for Molecular Pharmacology,3,9,12,0,0,0,12
Riga Stradins University,CS FY27 Renewal:  Riga Stradins University formerly RSU - Institute of Microbiology and Virology // Agnija Vilkaite,3,8,11,0,1,1,12
Versiti,CS FY28 Renewal:    Versiti - Blood Center of Wisconsin,4,5,9,0,0,0,9
German Aerospace Center,CS FY27 Renewal:   German Aerospace Center // Thomas Urlings,0,8,8,0,0,0,8
Charles Perkins Centre,CS FY27 Renewal:  Centenary Institute,0,5,5,0,2,2,7
Faculty of Engineering & Science (University of Greenwich),CS FY27 Renewal:   University of Greenwich - Faculty of Engineering & Science // Dale Harrison,1,6,7,0,0,0,7
Berry College,CS FY27 Renewal: Berry College - College of Math & Science,0,6,6,0,0,0,6
IIS Aragon,CS FY27 Renewal:  IIS Aragon // Research Groups,0,5,5,0,0,0,5
