account_name,opportunity_name,num_free_users,num_self_serve_users,num_users_with_dept_match
Swarthmore College,CS FY27 Renewal:    Swarthmore College,6,0,2
Teagasc,CS FY27 Renewal:  Teagasc,323,26,53
The National Health Research Institutes - Taiwan,CS FY27 Renewal:    National Health Research Institutes - Library Services,34,1,15
UFZ,CS FY27 Pilot Renewal:  PILOT: UFZ Center for Environmental Research - Sitewide // Thomas Wieser IT,332,24,20
UKE Hamburg,CS FY27 Renewal: UKE Hamburg - iPrime,400,124,45
UKE Hamburg,CS FY28 Renewal: UKE Hamburg - Multiyear Deal 2 of 2,400,124,45
University del Piemonte Orientale,CS FY27 Renewal:   University of Eastern Piedmont,233,6,117
University of Eastern Finland,CS FY27 Renewal:    University of Eastern Finland,649,97,9
University of Ljubljana,CS FY28 Renewal:  University of Ljubljana-Biotechnical faculty//Meta Sterniša,287,36,70
University of Puerto Rico - Biomedical Sciences,CS FY27 Renewal: University of Puerto Rico - Biomedical Sciences,268,46,131
University of Saskatchewan,CS FY27 Renewal: University of Saskatchewan // College of Dentistry,962,254,214
University of Saskatchewan,CS FY28 Renewal: University of Saskatchewan - College of Ag,962,254,214
University of South Florida,CS FY27 Renewal: University of South Florida // Sitewide,1584,372,135
University of Southampton,CS FY27 Renewal: University of Southampton - School of Clinical & Experimental Sciences,317,53,70
University of Southampton,CS FY27 Renewal: University of Southampton - School of Human Development and Health,317,53,70
Vaccine and Infectious Disease Organization (University of Saskatchewan),CS FY27 Renewal:    University of Saskatchewan - Vaccine and Infectious Disease Organization (VIDO),962,254,214
Vascular Biology Center (Augusta University),CS FY27 Renewal: Augusta University - Vascular Biology Center,152,56,85
Versiti,CS FY28 Renewal:    Versiti - Blood Center of Wisconsin,12,0,4
Vet Med Department of Pathobiological Sciences (Louisiana State University),CS FY27 Renewal:    Louisiana State University - Vet Med Department of Pathobiological Sciences,320,44,85
iteso,CS FY28 Renewal: ITESO,33,5,0
